,longitude,latitude,elevation
591,135.377958,-25.003538,183.6
592,135.362958,-25.003538,184.76
593,135.349628,-25.005208,183.87
594,135.336288,-25.005208,184.61
595,135.324629,-25.018539,193.66
596,135.327959,-25.033539,195.89
597,135.326289,-25.050209,188.08
598,135.326289,-25.063539,189.07
599,135.332959,-25.078539,183.3
600,135.341289,-25.090209,186.69
601,135.347959,-25.096869,189.07
602,135.36963,-25.181869,174.33
603,135.37629,-25.198539,169.4
604,135.37963,-25.213539,165.11
605,135.38463,-25.225209,163.72
606,135.39463,-25.241869,164.7
607,135.40129,-25.251868,163.83
608,135.40629,-25.266868,160.41
609,135.412961,-25.280208,160.08
610,135.416291,-25.293538,157.78
611,135.421291,-25.308538,156.16
612,135.427961,-25.326868,154.68
613,135.432961,-25.341868,152.99
614,135.436291,-25.351868,151.99
615,135.441291,-25.366868,150.73
616,135.427961,-25.370209,151.8
617,135.417961,-25.363539,156.68
618,135.407961,-25.350209,157.48
619,135.404632,-25.365209,154.82
620,135.372962,-25.380209,154.99
621,135.357962,-25.385209,157.59
622,135.344632,-25.388539,160.64
623,135.332963,-25.396869,161.56
624,135.321293,-25.40354,160.23
625,135.302963,-25.40854,161.22
626,135.284633,-25.41687,162.76
627,135.264633,-25.42021,163.96
628,135.249634,-25.42687,164.93
629,135.236294,-25.43521,165.47
630,135.224634,-25.440211,167.38
631,135.209634,-25.446871,169.67
632,135.196294,-25.451871,172.05
633,135.179635,-25.458541,177.32
634,135.152965,-25.480211,185.49
635,135.141295,-25.486871,188.76
636,135.126295,-25.491872,190.46
637,135.114636,-25.495212,188.22
638,135.099636,-25.496872,183.66
639,135.086296,-25.501872,187.09
640,135.074636,-25.503542,182.65
641,135.069636,-25.538542,191.58
642,135.066297,-25.553542,196.25
643,135.064637,-25.566872,198.83
644,135.061297,-25.580212,213.55
645,135.059637,-25.596872,226.84
646,135.062967,-25.611872,215.85
647,135.064637,-25.626872,199.86
648,135.072968,-25.645212,195.72
649,135.0813,-25.925213,179.62
650,135.1063,-25.925213,180.0
651,135.1213,-25.920213,180.03
652,135.13464,-25.910213,180.64
653,135.14797,-25.900213,177.89
654,135.162969,-25.890212,176.93
655,135.174639,-25.883542,176.57
656,135.187969,-25.873542,175.68
657,135.202969,-25.866872,176.36
658,135.212969,-25.856872,176.07
659,135.226298,-25.848542,172.59
660,135.241298,-25.843542,172.02
661,135.247968,-25.831871,169.1
662,135.257968,-25.808541,167.81
663,135.257967,-25.793541,169.28
664,135.261297,-25.778541,168.79
665,135.264637,-25.765211,168.62
666,135.264637,-25.750211,170.29
667,135.261297,-25.736871,169.1
668,135.259637,-25.721871,170.48
669,135.256297,-25.706871,170.95
670,135.251296,-25.693541,175.68
671,135.247966,-25.680211,181.8
672,135.242966,-25.666871,184.51
673,135.241296,-25.653541,196.66
674,135.234636,-25.638541,207.01
675,135.231296,-25.625211,203.74
676,135.224636,-25.600211,205.05
677,135.229635,-25.585211,197.33
678,135.236295,-25.571871,186.67
679,135.259634,-25.51854,182.13
680,135.261294,-25.49354,186.17
681,135.256294,-25.47687,180.69
682,135.256294,-25.46354,174.26
683,135.256294,-25.45021,170.73
684,135.257964,-25.43687,167.8
685,135.181295,-25.485211,186.2
686,135.192965,-25.496871,189.78
